pid,pname,author,pdetail,category,price,did,image
1234,InkHeart,"Cornelia Funke","A young girl discovers her father has an 

amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them 

all with the help of her father her aunt and a storybooks hero.",Literature,450,78rha27,image/pqr.jpg
1235,"HP and the Philosophers Stone","J.K. Rowling","The follow-up to ""Harry 

Potter and the Sorcerers Stone"" finds young wizard Harry Potter (Daniel Radcliffe) and his friends, Ron (Rupert 

Grint) and Hermione (Emma Watson), facing new challenges during their second year at Hogwarts School of 

Witchcraft and Wizardry as they try to discover a dark force that is terrorizing the school.",Literature,275,12paya45,image/Philostone.jpg
1236,"The Secret of the Nagas","Amish Tripathi","The Secret of the Nagas is the 

second novel of the Shiva trilogy series by the Indian author Amish Tripathi.",Literature,275,joey,image/The_Secret_of_the_Nagas.jpg
1237,InkSpell,"Cornelia Funke","Fourteen-year-old Meggie is back at home 

after the intrigue and adventure she encountered in Inkheart (Chicken House, 2003), the first volume in this 

projected trilogy.",Literature,311,56576,image/InkspellBookCover.jpg
1238,"HPand the Goblet of Fire  ","J.K. Rowling","The Triwizard Tournament is 

to be held at Hogwarts. Only wizards who are over seventeen are allowed to enter but that doesnt stop Harry 

dreaming that he will win the competition.",Literature,524,wdsds,image/Harry_Potter_and_the_Goblet_of_Fire_film_.jpg
1239,"HP and deathly hallows","J.K. Rowling","As he climbs into the sidecar of 

Hagrids motorbike and takes to the skies, leaving Privet Drive for the last time, Harry Potter knows that Lord 

Voldemort and the Death Eaters are not far behind",Literature,482,78rha27,"image/deathly hallows.jpg"
1240,"HP and the Chamber of Secrets","J.K. Rowling","Harry Potters summer 

has included the worst birthday ever, doomy warnings from a house-elf called Dobby, and rescue from the 

Dursleys by his friend Ron Weasley in a magical flying car! Back at Hog",Literature,283,joey,image/Harry_Potter_and_the_Chamber_of_Secrets_movie.jpg
1241,"HP and the half  blood Prince","J.K. Rowling","As Voldemorts sinister 

forces amass and a spirit of gloom and fear sweeps the land, it becomes increasingly clear to Harry that he will 

soon have to confront his destiny",Literature,482,wdsds,"image/half  blood.jpg"
1242,"HP and the prisoner of azkaban ","J.K. Rowling","When the Knight Bus 

crashes through the darkness and screeches to a halt in front of him, its the start of another far from ordinary 

year at Hogwarts for Harry Potter.",Literature,344,12paya45,"image/hp prisoner of azk.jpg"
1243,"HP and the Order Of Phonix","J.K. Rowling","Dark times have come to 

Hogwarts. After the Dementors attack on his cousin Dudley, Harry Potter knows that Voldemort will stop at 

nothing to find him. ",Literature,524,56576,image/abcpqr.jpg
1244,"Catching Fire","Suzanne Collins","Against all odds, Katniss Everdeen has 

won the annual Hunger Games with fellow district tribute Peeta Mellark. But it was a victory won by defiance of 

the Capitol and their harsh rules.","Science Fiction",350,12paya45,image/6148028.jpg
1245,Starplex,"Robert J Sawyer","Robert J. Sawyers book ""Starplex"" was one of 

the most entertaining, thought-provoking, and mind-twisting books Ive read in a long time","Science Fiction",1231,joey,image/starplex.gif
1246,"Star Wars","Timothy Zahn","A brand-new treat for fans of 1 New York 

Times bestselling Star Wars author Timothy Zahn: a classic Star Wars adventure set in the time between Star 

Wars: A New Hope and Star Wars","Science Fiction"," 797",wdsds,"image/star wars.jpg"
1247,"Journey in Other Worlds","John Jacob Astor","A Journey in Other 

Worlds: A Romance of the Future is a science fiction novel by John Jacob Astor IV, published in 1894. The book 

offers a fictional account of life in the year 2000","Science Fiction"," 750",78rha27,"image/a journey in other 

worlds.jpg"
1248,"Alien Planet","J.A. Marlow","It was based on the book Expedition, by 

sci-fi/fantasy artist and writer Wayne Douglas Barlowe","Science Fiction",700,joey,"image/alien plznet.jpg"
1249,"The Voyage of Space Beagle","A. E. Van Vogt","The Voyage of the Space 

Beagle is a classic novel of science fiction by A. E. van Vogt in the space opera subgenre.","Science Fiction",648,78rha27,"image/the voyage of space beagle.jpg"
1250,"Mysteries In Space",MacDonald,"Mystery in Space is the name of two 

science fiction American comic book series published by DC Comics and a stand alone Vertigo anthology 

released in 2012.","Science Fiction",615,12paya45,"image/mysteries in space.jpg"
1251,"The War of Worlds","H.G. Wells","H.G. Wellss science fiction classic, the 

first novel to explore the possibilities of intelligent life from other planets, it still startling and vivid nearly after a 

century after its appearance","Science Fiction",420,joey,"image/the war of the worlds.jpg"
1252,"Runaway Alien","Alec Eberts , Paul Smith-Goodson","Eeek! The 

Runaway Alien by Karen InglisEleven-year-old Charlie Spruit cant believe his luck when he opens his door to an 

alien one morning.","Science Fiction",500,56576,"image/runaway alien.jpg"
1253,"Tomorrow and Beyond","Ian Summers ","Tomorrow and Beyond, 

Masterpieces of Science Fiction Art Edited by Ian Summers Workman Publishing New York, 1978 158 pp, full 

color throughout.","Science Fiction",300,wdsds,"image/tomorrow and beyond.jpg"
1254,"SS are u afraid of Dark","Sidney Sheldon","The new novel that Sidney 

Sheldons millions of fans all over the world have been waiting for. And, like his seventeen previous books, it is 

destined for a top place on bestseller lists","Crime and Mystery",215,78rha27,"image/are yo afraid of the 

dark.jpg"
1255,"SS Bloodline","Sidney Sheldon","One of Sidney Sheldons most popular 

and bestselling titles, repackaged and reissued for a new generation of fans. ","Crime and Mystery",252,joey,image/bloodline.jpg
1256,"SS Nothing last forever","Sidney Sheldon","In the frenetic world of a big 

hospital, events catapult three women doctors into a white-hot spotlight. Dr Paige Taylor","Crime and 

Mystery",215,wdsds,"image/nothing lasts forever.jpg"
1257,"Dan Brown","Dan Brown","Seek and ye shall find.With these words 

echoing in his head, eminent Harvard symbologist Robert Langdonawakes in a hospital bed with no recollection 

of where he is or how he got there","Crime and Mystery",290,12paya45,"image/o-INFERNO-BOOK-COVER-

DAN-BROWN-facebook.jpg"
1258,"SS Tell me ur Dream","Sidney Sheldon","The fast-paced new novel from 

the internationally bestselling author of The Best Laid Plans, Morning, Noon & Night and Bloodline. Someone 

was following her.","Crime and Mystery",279,wdsds,"image/tell me your dreams.jpg"
1259,"The Adventure Sherlock Holmes","Arthur Conan Doyle","The hit BBC 

series Sherlock, starring Benedict Cumberbatch, offers a fresh, contemporary take on the classic Sir Arthur 

Conan Doyle stories","Crime and Mystery",266,56576,"image/the adventures of sherlock holmes.jpg"
1260,"The Girl with the Dragon Tattoo","Stieg Larsson","Forty years ago, 

Harriet Vanger disappeared from a family gathering on the island owned and inhabited by the powerful Vanger 

clan.","Crime and Mystery",260,joey,"image/the girl with the dragon tattoo.jpg"
1261,"The Hound of Baskervilles","Arthur Conan Doyle","The Hound of the 

Baskervilles is one of Conan Doyles most famous mysteries featuring the detective, Sherlock Holmes and his 

friend, Dr. Watson.","Crime and Mystery",125,56576,"image/the hound of baskervilles.jpg"
1262,"The Lost Symbolt","Dan Brown","The Capitol Building, Washington DC: 

Harvard symbologist Robert Langdon believes he is here to give a lecture. He is wrong. Within minutes of his 

arrival, a shocking object is discovered.","Crime and Mystery",280,12paya45,"image/the lost symbol.jpg"
1263,"The Complete Sherlock Holmes","Arthur Conan Doyle","The hit BBC 

series Sherlock, starring Benedict Cumberbatch, offers a fresh, contemporary take on the classic Sir Arthur 

Conan Doyle stories","Crime and Mystery",266,56576,"image/the complete sherlock holmes.jpg"
1264,"Online Bitsat 2014 ","Arihant Experts","The Birla Institute of Technology 

and Science (BITS), Pilani conducts a combined computer-based online test for admission into first year of the 

various Bachelor of Engineering (Hons.) courses","Competitive Books",650,78rha27,image/unnamed.jpg
1265,"Bitast English & Logical","Disha Publications","The Comprehensive guide 

to English and Logical Reasoning for BITSAT provides the Key Concepts and sufficient practice to crack this 

section of BITSAT. The book covers English Proficiency-Vocabulary, Grammar, Reading Comprehension, 

Composition, Verbal Reasoning - Analogy, Classification or Odd Man Out, Series, Logical Deduction, Chart 

Logic, Non-Verbal Reasoning-Pattern Perception or Completion of Figures, Figure Formation and Analysis, 

Paper Cutting, Figure matrix, Rule Detection","Competitive Books",175,wdsds,"image/unnamed (1).jpg"
1266,"Bitsat 2014",GKP,"Mathematics, Physics, Chemistry, English, Logical 

Reasoning : Includes Solved Paper 2013 (English) 4th Edition","Competitive Books",443,56576,"image/unnamed (2).jpg"
1267,"Bitsat Online Test","Disha Experts","Most Powerful to the Point (English) 

6th Edition","Competitive Books",400,joey,"image/unnamed (3).jpg"
1268,"Guide to Bitsat Online Test","Disha Publication","A sure guide to 

success","Competitive Books",350,12paya45,"image/unnamed (4).jpg"
1269,"IBitsat Explore","MTG Editorial Board","A guide to give you a sure 

success","Competitive Books",500,56576,"image/unnamed (5).jpg"
1270,"English & Logical Bitsat","Disha Experts","The most typical part of 

BITSAT is its English and Logical Reasoning section. Whereas all other Engineering entrance exams are focused 

on Physics, Chemistry etc.","Competitive Books",280,wdsds,"image/unnamed (6).jpg"
1271,"Practice Paper 2014","G K P","BITSAT 2014 Practice Papers must be 

solved by candidates to take their exam preparation to a higher level.","Competitive Books",166,joey,"image/unnamed (7).jpg"
1272,"Bitsat 2015","Sharma; Tewani; Saini; Verma","The Birla Institute of 

Technology and Science (BITS), Pilani conducts BITS admission test (BITSAT) an online test of total three hours 

duration for admission into the first degree programmes","Competitive Books",450,12paya45,"image/unnamed 

(8).jpg"
1273,"Bitsat 2013","G K P","BITSAT 2014 Practice Papers must be solved by 

candidates to take their exam preparation to a higher level.","Competitive Books",166,78rha27,"image/unnamed 

(9).jpg"
1274,2States,"Chetan Bhagat","Welcome to 2 States, a story about Krish and 

Ananya who are from two different states of India, deeply in love and want to get married. Of course, their 

parents don’t agree.",Romance,126,joey,image/2states.jpg
1275,"Breaking Dawn","Stephenie Meyer","When you loved the one who was 

killing you, it left you no options. How could you run, how could you fight, when doing so would hurt that 

beloved one? If your life was all you had to give",Romance,344,56576,"image/breaking dawn.jpg"
1276,"Can Love Happen Twice","Ravinder Singh","When Ravin first said I love 

you . . . he meant it forever. The world has known this through Ravin s bestselling novel, I Too Had a Love 

Story. But did Ravin s story really end on the last page",Romance,130,wdsds,"image/can love happen 

twice.jpg"
1277,Eclipse,"Stephenie Meyer","BellaEdwards soft voice came from behind 

me. I turned to see him spring lightly up the porch steps, his hair windblown from running. He pulled me into 

his arms at once, and kissed me again.",Romance,399,12paya45,image/eclipse.jpg
1278,"Erich Segal Love Story","Erich Segal","Oliver Barrett IV, a wealthy jock 

from a stuffy WASP family on his way to a Harvard degree and a career in law . . . Jenny Cavilleri, a sharp-

tongued, working-class beauty studying music at Radclif.",Romance,195,78rha27,"image/erichsegal love 

story.jpg"
1279,"I Too Had a Love Story","Ravinder Singh","I Too Had a Love Story is a 

memoir of a courtship that didnt reach its ultimate destination – marriage. The true love story of Ravinder 

Singh",Romance,150,joey,"image/i too had a love story.jpg"
1280,"Like it Happened Yesterday","Ravinder Singh","Like It Happened 

Yesterday is new novel announced by Ravinder Singh. This one is based on his childhood days which will bring 

back memories of your early childhood days",Romance,130,wdsds,"image/like it happened yesterday.jpg"
1281,"New Moon","Stephenie Meyer","After the abrupt departure of Edward 

(Robert Pattinson), her vampire love, Bella (Kristen Stewart) finds comfort in her deepening friendship with 

Jacob Black (Taylor Lautner). However Bellas loyalties are put to the test as she becomes drawn into the world of 

werewolves, ancient enemies of vampires.",Romance,300,joey,"image/new moon.jpg"
1282,"PS I Love U","Cecelia Ahern","Everyone needs a guardian angel… Some 

people wait their whole lives to find their soul mates. But not Holly and Gerry. Childhood sweethearts, they 

could finish each others sentences",Romance,212,56576,"image/ps i love u.jpg"
1283,"Pride and Prejudice","Jane Austen","HarperCollins is proud to present its 

range of best-loved, essential classics.",Romance,200,12paya45,"image/pride and prejudice.jpg"
1284,"On Nelson Mandela","Peter Limb","Presents the life of South African 

activist and former president who helped end apartheid and advocated for human rights around the world.",Biographies,230,78rha27,image/about-nelson-mandela-full-biography-kindle.jpg
1285,"Albert Einstein","Calaprice ; Trevor Lipscombe","The German-born 

physicist Albert Einstein developed the first of his groundbreaking theories while working as a clerk in the Swiss 

patent office in Bern.",Biographies,250,joey,"image/biography of albert einstein.jpg"
1286,Chanakaya," B. K. Chaturvedi","Given here is information on life 

history of Chanakya. Read this biography of Chanakya, also known as Kautilya.",Biographies,100,wdsds,image/biography-of-chanakya.jpg
1287,"Lenoardo DiCaprio","Douglas Wight","Actor Leonardo DiCaprio has 

starred in such movies as Titanic, Gangs of New ... DiCaprio reportedly met fellow actor Tobey Maguire while 

making the series.",Biographies,270,56576,"image/celebrity-biographies-leonardo-dicaprio-biography-

series.jpg"
1288,"Hockey Book","Shane Frederick","The Best of Everything Hockey Book. 

by Shane Frederick. What team has won the most Stanley Cups? How many teams did Wayne Gretzky play for? 

What is ...",Sports,2257,78rha27,image/hockey.jpg
1289,"Michael Jordan","Matt Christopher","Matt Christopher, the number one 

sports writer for kids, profiles basketball superstar Michael Jordan, covering his childhood, college career, rookie 

years, professional career highlights, and his...",Sports,422,joey,"image/legends of michel jordan.jpg"
1290,"Mastering Montain Bike Skills","Brian Lopes","With firsthand advice 

from world champion Brian Lopes, this book includes high-quality photos, detailed instruction, and techniques 

and tips for every skill level ...",Sports,1450,joey,"image/Mastering Montain Bike Skills.jpg"
1291,Miracle,"Mike Lupica","But Barbara still says no, but compromises with 

Molly and lets her stay with Josh until they leave. Thats the protagonist motivation of Miracle on 49th street.",Sports,520,12paya45,image/miracle2.jpg
1292,"The Agony of Victory","Steve Friedman","He has written that rare sports 

book: a book about deeply flawed, highly ... The Agony of Victory is as much about sports as it is about the 

intersection between ...",Sports,1000,78rha27,image/the-agony-of-victory.jpg
1293,"The Sports Book","James Style","Available in: Hardcover. Fully updated 

with the latest statistics and world records, The Sports Book is packed with comprehensive details for more than 

200 ...",Sports,500,56576,image/The-Sports-Book.jpg
1294,"Know About Politics ","Jessamyn Conrad","What You Should Know 

About Politics . . . But Dont breaks it all down, issue by issue, explaining who stands for what, and why, whether 

its the economy, the war in Iraq, health care, oil and renewable energy sources, or climate change.",Politics,900,wdsds,image/03_know-about-politics.jpg
1295,"Beyond Politics ","William C.Mitchell","Beyond Politics delivers hot 

topics and provides useful, thought-provoking insights on various issues. Beyond Politics airs every Tuesday at 7 

pm on ANC.",Politics,950,joey,image/BeyondPolitics.jpg
1296,"The Politics of Racism ","Ann Gomer","The Politics of Racism. Preface To 

The 1981 Edition. The intention of this book is not to arouse bad memories or to make accusations. What is 

past is past.",Politics,500,56576,image/book.jpg
1297,"The Fifth Freedom ","Anthony S Chen","""Few presidents have ever 

granted the Fifth Freedom. Its the right to defend our laws, by breaking them. To safeguard secrets, by stealing 

them. To save lives, by ...",Politics,1940,78rha27,image/freedom.jpg
1298,"American Politics","Roger Pathy","This essay then was written originally 

to inform non-Americans as to how the American political system works. What has been striking, however, ...",Politics,650,12paya45,image/guide.jpg
1299,"What Really Happened ","Rielle Hunter"," What really happened with 

Rielle Hunter. Emma G Keller. In a story notable for the unreliability of all its narrators, the book by John 

Edwards",Politics,170,56576,image/hunter.jpg
1300,"Food Politics ","Marion Nestle","Food Politics We all witness, in 

advertising and on supermarket shelves, the fierce competition for our food dollars. In this engrossing exposé, 

Marion Nestle ...",Politics,1200,wdsds,image/New-Picture-31.jpg
1301,"The Globalization of World Politics ","Steve Smith","Trusted by over 

300,000 students in over 120 countries, The Globalization of World Politics is the most authoritative and 

complete introduction to IR available, making it the go-to text for student...",Politics,3000,joey,image/politics.jpg
1302,"Politics Crime Money and Lies ","Clayton Jay Collins","Politics, Crime, 

Money and Lies. 7 likes. Would you tell a lie for a $1 million dollars? Read about 2 people who did and were paid 

by the city of...",Politics,1050,78rha27,image/politics-crime-money-and-lies-400x400-imadfk84fxdz6p9f.jpg
1303,"My Country My Life ","Clayton Jay Collins","Politics, Crime, Money and 

Lies. 7 likes. Would you tell a lie for a $1 million dollars? Read about 2 people who did and were paid by the city 

of...",Politics,1050,78rha27,image/my.jpg
1304,"Organic Chemistry ","M.S. Chauhan","Organic Chemistry for JEE - Main 

& Advanced (English) 1st Edition (Paperback) ..... per iitjee syllabus but Mr. M.S. Chouhan has completely solved 

that problem.",JEE,450,12paya45,"image/unnamed (10).jpg"
1305,"Halliday/Resnick Vol 2","Haliday, Resnick","The original classic by 

Halliday, Resnick and Walker has been adapted into two volumes to meet the IIT-JEE needs.",JEE," 500",56576,"image/unnamed (11).jpg"
1306,"InOrganic Chemistry","J.D. Lee","This book is an adaptation of the 

classic book Concise Inorganic Chemistry by J.D. Lee (fifth edition) which is widely used by students preparing 

for JEE.",JEE,500,joey,"image/unnamed (12).jpg"
1307,Physics,"Tata Mc. Graw Hill","Title, Course In Phy For Iit Jee 2012. 

Author, Tmh. Publisher, McGraw-Hill Education (India) Pvt Limited. ISBN, 0071329293, 9780071329293.",JEE,575,wdsds,"image/unnamed (13).jpg"
1308,"IITJEE Mathematics","S. K. Goyal","New Pattern IIT JEE Physics is a 

specialised revised edition by Arihant Publications, which has been designed specifically to cater to the needs of 

serious IIT students",JEE,590,12paya45,"image/unnamed (14).jpg"
1309,Calculus,"Agarwal A M","Calculus - the most important topic for IIT-

JEE aspirants - constitutes a major part of modern mathematics. It has two major branches, differential calculus 

and  integral calculus",JEE,200,78rha27,"image/unnamed (15).jpg"
1310,"Halliday/Resnick Vol 1","Haliday, Resnick","The original classic by 

Halliday, Resnick and Walker has been adapted into two volumes to meet the IIT-JEE needs. ",JEE,500,wdsds,"image/unnamed (16).jpg"
1311,"Solomons Organic Chemistry","Solomons and Fryhles","This adapted 

version combines Solomons and Fryhles approach to Organic Chemistry with IIT-JEE requirements and is now 

part of Wileys Maestro Series.",JEE,650,joey,"image/unnamed (17).jpg"
1312,Trigonometry,"Cengage Learning","Mathematics. 37 Years Solved 

Papers IIT-JEE: Mathematics, 1/e · Cengage Learning India. 97881315241.",JEE,395,56576,"image/unnamed 

(18).jpg"
1313,"34 Year Physics","D C Pandey","physics IIT JEE solutions chapters 34 

year (English) 01 Edition - Buy physics IIT JEE solutions chapters 34 year (English) 01 Edition by D C Pandey",JEE,270,joey,"image/unnamed (19).jpg"
1314,"Data Interpretation","Arun Sharma","Concieved and developed by Arun 

Sharma, this comprehensive new book, solely devoted ... How to Prepare for Data Interpretation for the CAT by 

Arun Sharma",CAT,490,wdsds,image/Books-for-CAT-exam-7.jpeg
1315,"Cat Online","Arjun Sharma","CAT is an entrance exam to do the MBA 

from top most institutions present in India. .... CAT Online Test Series .... Verbal Ability by Arjun Sharma.",CAT,760,56576,image/CAT-TEST-SERIES.jpg
1316,"How To Prepare for CAT","Muhamid Muneer","How important role the 

books consulted for the preparation of CAT exam plays in selection of ... How to Prepare for CAT by 

Muhammad Muneer",CAT,1000,12paya45,image/file_13.jpg
1317,"Quantitative Aptitude for the CAT","Arun Sharma","Arun Sharmas 

Quantitative Aptitude for CAT has been a bestseller in this segment for many years and has evolved into a must 

read book for this topic",CAT,500,78rha27,"image/how-to-prepare-for-quantitative-aptitude-for-the-cat-

400x400-imadvste855ch3bb.jpeg"
1318,"Verbal Ability and Reading Comprehension","Meenakshi Upadhyay","Expert CAT tutor, Meenakshi Upadhyay has created this book to simplify the process of understanding the 

updated Comprehension",CAT," 470",56576,"image/how-to-prepare-for-verbal-ability-and-reading-

comprehension-for-the-cat-275x275-imad6qjmqyqf6gfv.jpeg"
1319,MBA,Sulava,"About the book. This book povides step by step guidance to 

aspirants appearing in various MBA entrance examinations in the country.",CAT,400,joey,"image/mba-qa-

1.jpg"
